Action,Role-Playing,Strategy,Adventure,Simulation,Sports & Racing
DOOM Eternal,The Witcher 3: Wild Hunt,Sid Meier's Civilization VI,The Legend of Zelda: Breath of the Wild,Cities: Skylines,FIFA 22
Sekiro: Shadows Die Twice,Divinity: Original Sin 2,Stellaris,Hollow Knight,The Sims 4,NBA 2K22
Monster Hunter: World,Elder Scrolls V: Skyrim,Total War: Three Kingdoms,Oxenfree,Stardew Valley,WWE 2K22
Devil May Cry 5,Disco Elysium,Europa Universalis IV,Firewatch,Microsoft Flight Simulator,Football Manager 2022
Resident Evil Village,Pillars of Eternity II: Deadfire,Crusader Kings III,A Plague Tale: Innocence,Planet Zoo,Madden NFL 22
Cyberpunk 2077,Dragon Age: Inquisition,XCOM 2,Soma,Euro Truck Simulator 2,Forza Horizon 4
Hades,Pathfinder: Kingmaker,Cities: Skylines,Ori and the Blind Forest: Definitive Edition,Factorio,Assetto Corsa Competizione
Control,Mass Effect Legendary Edition,Hearts of Iron IV,What Remains of Edith Finch,RimWorld,GRID (2019)
Astral Chain,Genshin Impact,Age of Empires II: Definitive Edition,Life is Strange,Prison Architect,Dirt Rally 2.0
Nioh 2,Dark Souls III,Civilization V,Gris,Farming Simulator 19,Rocket League
